Prenom Nom,Nombre de Produits Achetes,Montant Depense (Franc CFA),Date du Dernier Achat
Astou Gueye,8,31046.85,2023-7-20
Mariama Cisse,17,14416.85,2023-9-4
Mariama Cisse,5,11595.96,2023-5-13
Ndeye Kane,8,22501.94,2023-4-7
Fatou Ndiaye,11,41411.78,2023-12-17
Ndeye Mbengue,4,33810.79,2023-7-7
Aissatou Sall,2,7667.42,2023-5-17
Adja Kane,16,6546.75,2023-9-5
Adja Thiam,14,25922.1,2023-6-27
Ndeye Sall,13,38857.09,2023-8-14
Adja Sall,13,49190.86,2023-5-13
Rama Thiam,4,40583.19,2023-12-22
Ndeye Kane,2,45223.73,2023-11-28
Fatou Sall,12,30095.42,2023-9-9
Mariama Gueye,5,26783.89,2023-2-14
Awa Fall,12,24923.71,2023-1-9
Rama Gueye,12,36624.38,2023-11-14
Fatou Mbengue,8,19951.08,2023-11-8
Adja Mbengue,17,48565.24,2023-10-8
Astou Diop,17,22522.04,2023-2-14
Awa Kane,3,36407.07,2023-10-9
Astou Sall,7,49734.13,2023-12-1
Fatou Mbengue,17,28215.35,2023-12-7
Maimouna Gueye,4,30013.47,2023-1-7
Awa Thiam,13,47783.07,2023-10-2
Ndeye Sall,20,47100.11,2023-12-7
Mariama Kane,7,22108.61,2023-11-8
Rama Kane,20,15464.51,2023-1-17
Astou Diop,6,46994.01,2023-5-28
Astou Mbengue,3,28947.23,2023-12-11
Awa Sall,9,30324.91,2023-10-15
Ndeye Ndiaye,12,20897.93,2023-9-17
Fatou Gueye,9,19004.1,2023-3-25
Fatou Kane,19,27646.44,2023-11-18
Aissatou Diop,14,36642.43,2023-8-11
Aissatou Thiam,2,12346.18,2023-4-22
Rama Mbengue,17,31133.74,2023-5-6
Maimouna Cisse,16,41698.43,2023-6-22
Adja Kane,12,10506.61,2023-10-21
Ndeye Cisse,17,33091.08,2023-7-18
Khady Thiam,16,17270.97,2023-8-17
Khady Cisse,2,42202.24,2023-9-16
Rama Fall,5,11810.16,2023-2-1
Awa Fall,15,46172.37,2023-10-9
Khady Mbengue,14,24146.87,2023-8-15
Mariama Mbengue,11,25187.59,2023-3-20
Aissatou Gueye,20,31333.72,2023-2-22
Khady Fall,11,43398.01,2023-12-13
Rama Ndiaye,11,45148.48,2023-2-19
Mariama Mbengue,7,19369.16,2023-3-12
Maimouna Faye,16,33557.1,2023-1-21
Astou Ndiaye,19,28612.02,2023-2-15
Astou Ndiaye,4,5629.64,2023-9-13
Maimouna Ndiaye,7,33724.34,2023-6-19
Khady Sall,11,48131.62,2023-4-7
Mariama Kane,12,14204.87,2023-7-22
Adja Faye,17,34888.89,2023-10-8
Rama Mbengue,16,44346.82,2023-9-9
Fatou Fall,16,37509.31,2023-8-26
Maimouna Faye,13,7593.38,2023-8-4
Fatou Mbengue,13,21108.68,2023-10-26
Fatou Gueye,15,41254.4,2023-9-1
Awa Fall,8,19986.41,2023-1-17
Rama Fall,16,48340.8,2023-2-10
Mariama Gueye,2,48856.03,2023-12-27
Astou Faye,3,42396.7,2023-5-21
Awa Faye,10,37383.6,2023-7-4
Khady Gueye,11,22733.85,2023-9-14
Fatou Faye,20,9302.56,2023-4-17
Ndeye Diop,11,11126.63,2023-5-18
Fatou Ndiaye,13,43049.61,2023-9-20
Khady Ndiaye,16,30962.48,2023-6-12
Maimouna Cisse,5,16447.01,2023-7-28
Rama Thiam,16,23952.47,2023-5-14
Awa Cisse,14,39591.28,2023-8-24
Khady Faye,3,11381.13,2023-1-7
Adja Ndiaye,5,16017.17,2023-3-7
Astou Diop,2,38505.28,2023-8-20
Awa Mbengue,9,7943.14,2023-10-20
Mariama Diop,2,43559.34,2023-9-19
Mariama Ndiaye,14,44713.45,2023-12-15
Khady Cisse,12,46203.08,2023-3-2
Khady Mbengue,8,26031.32,2023-6-13
Awa Gueye,10,47768.68,2023-9-28
Rama Mbengue,12,43006.53,2023-9-10
Aissatou Ndiaye,14,11324.42,2023-1-1
Astou Ndiaye,12,45969.21,2023-1-14
Aissatou Fall,3,37874.49,2023-10-12
Awa Cisse,1,42885.15,2023-8-23
Fatou Gueye,5,36626.26,2023-4-15
Fatou Thiam,5,13074.03,2023-12-22
Khady Thiam,10,17796.5,2023-4-8
Mariama Cisse,4,18132.63,2023-1-21
Mariama Kane,7,17986.61,2023-4-21
Mariama Sall,4,17562.13,2023-3-15
Awa Ndiaye,7,36588.56,2023-11-28
Fatou Kane,17,16684.85,2023-7-25
Ndeye Ndiaye,4,39664.42,2023-1-25
Rama Ndiaye,3,26300.27,2023-11-8
Mariama Diop,12,42803.64,2023-7-26
